set_id,time,channel,param_id,amplitude,duration,energy,rms,threshold,rise_time,signal_strength,counts,trai
728,262.6435052,7,8,0.02413702449978011,0.0040022,4895314.368512821,3.7012117681390364e-06,0.00017810493607935623,0.0005084,7167.43407815442,159,186
729,262.64919729999997,1,2,0.00018419399372309494,2.1000000000000002e-06,258.3462546878922,3.7111880801825374e-06,0.00017810493607935623,3.0000000000000004e-07,28.07603375255731,1,187
749,271.0631469,3,4,0.08859426645198679,0.0028785,11143708.813850123,3.6413538958780273e-06,0.00017810493607935623,3.3700000000000006e-05,6718.149340673083,101,188
750,271.0631476,1,2,0.09976159817060352,0.0064363,24472611.181857392,3.7111880801825374e-06,0.00017810493607935623,3.57e-05,10765.764854464303,219,189
751,271.06315839999996,5,6,0.0683314048780354,0.0048661,22470644.504462376,3.6812591440520326e-06,0.00017810493607935623,0.0001004,12582.4277573325,196,190
752,271.0631613,4,5,0.061939416616520734,0.0036639,38228075.41711845,3.6912354560955345e-06,0.00017810493607935623,0.0001359,15990.351279992128,139,191
753,271.0631626,2,3,0.020628205032575696,0.0029363,2409956.113623972,3.7211643922260393e-06,0.00017810493607935623,0.00026890000000000003,5107.773952581315,123,192
754,271.0631692,7,8,0.0662322022553565,0.0032329,13496390.250367852,3.7012117681390364e-06,0.00017810493607935623,0.00016960000000000003,8558.856712534774,127,193
755,271.0631752,8,9,0.022675650665282824,0.0036,4832391.801388066,3.7411170163130417e-06,0.00017810493607935623,0.00021070000000000003,6525.228524218806,136,194
756,271.063177,6,7,0.020877856395968983,0.0028524,3767751.2446390884,3.8109512006175523e-06,0.00017810493607935623,0.0002068,5789.982176568502,107,195
757,271.06724529999997,8,9,0.00019789437342150693,1.67e-05,236.74875431841315,3.7411170163130417e-06,0.00017810493607935623,2.3000000000000004e-06,26.199690782453743,1,196
758,271.06743109999996,4,5,0.00021616154635272297,2.95e-05,359.59359826818894,3.6912354560955345e-06,0.00017810493607935623,1.45e-05,34.055792356452194,2,197
765,275.6953799,3,4,0.09976159817060352,0.0034888000000000002,18121124.49605427,3.631377583834526e-06,0.00017810493607935623,3.33e-05,9737.766380077579,141,198
766,275.69538159999996,2,3,0.07156317222244972,0.0028047000000000002,9992626.811075132,3.6912354560955345e-06,0.00017810493607935623,6.64e-05,6318.351588707326,120,199
767,275.6953881,4,5,0.07024641350699123,0.003137,21941261.38232361,3.66130651996503e-06,0.00017810493607935623,8.94e-05,11319.713178006052,119,200
768,275.69539599999996,1,2,0.04725413184423399,0.0057805,15788515.141850706,3.7311407042695407e-06,0.00017810493607935623,0.000427,10740.434376594334,191,201
769,275.6953975,6,7,0.02797617534415734,0.0031219,4544919.933567189,3.8109512006175523e-06,0.00017810493607935623,9.42e-05,5662.599100357024,94,202
770,275.6953982,5,6,0.04488853294964151,0.0037363,34971508.607760645,3.66130651996503e-06,0.00017810493607935623,0.0003765,16825.287671797993,145,203
771,275.6954005,8,9,0.048111166707590206,0.0035455,19814417.81022733,3.761069640400045e-06,0.00017810493607935623,0.00024270000000000002,11003.76905028138,139,204
