,0,1,2,3,4,5
32,6195.051533366706,2.1282020108308333e-05,3.0,1.0,3.0,18717308.709593486
33,6462.836047255142,1.62456593240282e-05,3.0,1.0,4.0,21584428.83676827
34,6366.179912337021,1.939044452892994e-05,3.0,1.0,5.0,16508666.888237868
35,6252.595825789723,2.320288173550806e-05,3.0,1.0,6.0,16449121.16599836
36,6488.130577531736,1.9239270511399444e-05,3.0,1.0,7.0,18160025.566369727
37,6408.785090130301,2.25121707384549e-05,3.0,1.0,8.0,18130787.32942647
38,6210.577720617227,2.5702170005630246e-05,3.0,1.0,9.0,15706607.455728436
39,6012.08932221981,2.208725343428078e-05,3.0,2.0,2.0,16759557.085278837
40,5310.649486672242,2.0299291264073268e-05,3.0,2.0,3.0,7886978.481784476
41,6316.902238904599,2.0387964562937324e-05,3.0,2.0,4.0,17753347.914526887
42,5503.606429846861,2.5872479417350527e-05,3.0,2.0,5.0,10292746.248408934
43,6073.57779756415,2.375978978058415e-05,3.0,2.0,7.0,14746809.243426481
44,6354.084969205892,2.2155054116137177e-05,3.0,2.0,8.0,17689462.710073054
45,6187.514032276698,2.58328905555749e-05,3.0,2.0,9.0,15477190.754922733
46,6182.57675227206,1.860116961485577e-05,3.0,3.0,1.0,14928432.399029944
47,5972.795486483095,2.2847857349215266e-05,3.0,3.0,2.0,13647290.594509242
48,4848.079309509311,2.3478885080516925e-05,3.0,3.0,3.0,5889029.49608614
49,6441.30729590429,1.628464976986812e-05,3.0,3.0,4.0,21445769.55211313
50,6364.3769548456,1.949572161954899e-05,3.0,3.0,5.0,16520553.342348041
51,6273.316543831276,2.3128441111319553e-05,3.0,3.0,6.0,16659508.048535533
52,6637.876315090899,1.8669345896533137e-05,3.0,3.0,7.0,20461131.450804945
53,6408.145234956614,2.20139730019484e-05,3.0,3.0,8.0,18263655.79854832
54,6247.521482859025,2.563144293422378e-05,3.0,3.0,9.0,16074850.046581253
55,6312.628028877654,1.420806863819058e-05,4.0,1.0,1.0,19131572.786925655
56,6335.590189270271,1.7472273442440218e-05,4.0,1.0,2.0,17028597.859625105
57,6138.053187232483,2.14294940229928e-05,4.0,1.0,3.0,17861574.944784988
58,6424.488795851184,1.6434938207351793e-05,4.0,1.0,4.0,16831302.89120844
59,6429.940381954051,1.944322641026128e-05,4.0,1.0,5.0,17262343.331123065
60,6199.763731419877,2.348768686546488e-05,4.0,1.0,6.0,15896148.292396992
61,6587.890784332971,1.874489524249648e-05,4.0,1.0,7.0,19826273.161752705
62,6349.192217166875,2.225658310352307e-05,4.0,1.0,8.0,17623969.74231701
63,6121.110228529722,2.6757178547027377e-05,4.0,1.0,9.0,14819889.196612338
64,6308.982171447976,1.4307398245215028e-05,4.0,2.0,1.0,19117808.602930654
65,5399.289957794881,2.1214167663829564e-05,4.0,2.0,2.0,8636527.676450865
66,6151.626206212787,2.151013523174458e-05,4.0,2.0,3.0,18439730.92717631
67,6163.857648786111,1.7549321024950987e-05,4.0,2.0,4.0,15003987.471971096
68,6394.963372870322,1.9319100940531787e-05,4.0,2.0,5.0,16911498.00926063
69,6233.300167683967,2.3835932725793816e-05,4.0,2.0,6.0,16116135.577425178
70,5346.9798602784285,2.396192212239627e-05,4.0,2.0,7.0,9954876.779010288
71,6226.250788271788,2.3016330927569786e-05,4.0,2.0,8.0,16268826.969158318
72,6171.523351762237,2.58679890208322e-05,4.0,2.0,9.0,15321461.37840178
73,6316.846236410356,1.4244398984521041e-05,4.0,3.0,1.0,19182851.198482152
74,6356.6205936048855,1.755756139505644e-05,4.0,3.0,2.0,17203581.27308298
75,5933.97725902233,2.2083409423841515e-05,4.0,3.0,3.0,15494662.49402576
76,6092.626027106851,1.8871518913492775e-05,4.0,3.0,4.0,14905419.081615595
77,6465.088282363712,1.914295853050726e-05,4.0,3.0,5.0,18987673.1075873
78,6182.626689793334,2.349010915897259e-05,4.0,3.0,6.0,15744817.431594193
79,6310.11088401418,2.0476912905056517e-05,4.0,3.0,7.0,17955337.139512725
80,5825.749614426825,2.3893564603960837e-05,4.0,3.0,8.0,12885038.37274924
81,6149.350545378314,2.6471899033926086e-05,4.0,3.0,9.0,15093516.19907167
82,6424.024355041572,8.881782374211292e-06,5.0,1.0,1.0,20609300.779690407
83,6455.7385820611225,2.427972615758486e-05,5.0,1.0,2.0,18308266.400178846
84,6389.007267721269,1.4138347292638359e-05,5.0,1.0,3.0,19922796.55047473
85,6188.956352586188,1.8060699657862953e-05,5.0,1.0,4.0,15038937.06687505
86,6042.565698662605,2.1809694770938976e-05,5.0,1.0,5.0,16869757.401071988
87,6277.49484466702,1.7035929326815882e-05,5.0,1.0,6.0,16800948.491979923
88,6396.555578573108,1.955198500904156e-05,5.0,1.0,7.0,16958616.177504946
89,6295.162251018333,2.335107910379653e-05,5.0,1.0,8.0,16802219.986900758
90,6312.3218102923665,1.9795209217070395e-05,5.0,1.0,9.0,16252216.818616854
91,6189.055909493012,2.3365485657286638e-05,5.0,1.0,10.0,15836578.768761571
92,6343.109448897807,2.5594767941511535e-05,5.0,1.0,11.0,17057377.622701716
93,6062.45412082381,2.1631636085500078e-05,5.0,1.0,12.0,16850964.68665772
94,6401.649728102961,2.7522496085502875e-05,5.0,1.0,13.0,17715204.059272517
95,6389.633357964636,4.189563223055486e-05,5.0,1.0,16.0,18433822.970889106
96,6352.233932058186,4.083139033296784e-06,5.0,1.0,17.0,19803329.119053423
97,6128.3457866223425,3.286982660575098e-05,5.0,1.0,18.0,14777931.588227592
98,6388.5748662701635,8.820904024357615e-06,5.0,2.0,1.0,20169354.21339308
99,6131.30710794068,2.5147121305739818e-05,5.0,2.0,2.0,14987262.56959041
100,6323.271006215628,1.4211113718841576e-05,5.0,2.0,3.0,19241398.903304268
101,6204.286610096176,1.8111224055223346e-05,5.0,2.0,4.0,15175230.0688385
102,6280.806519328509,1.6888036361160412e-05,5.0,2.0,6.0,17040338.50990595
103,6242.492716331291,2.01220339824001e-05,5.0,2.0,7.0,15897678.75026233
104,6283.667481372512,2.319765196779858e-05,5.0,2.0,8.0,16735212.759985497
105,6244.731447853747,1.9852293666366953e-05,5.0,2.0,9.0,15456385.0973005
106,6287.908855894701,2.2496650362569347e-05,5.0,2.0,10.0,16979087.67418547
107,6114.267249864661,2.6665461399057487e-05,5.0,2.0,11.0,14756183.01181643
108,6372.8894591882145,2.1601056852430707e-05,5.0,2.0,12.0,17366244.722753834
109,6192.325562151976,2.8239056498561216e-05,5.0,2.0,13.0,15527271.975171376
110,6408.266571931272,2.894951202714622e-05,5.0,2.0,14.0,17827321.070375606
111,6326.8790522231475,3.636816156901279e-05,5.0,2.0,15.0,19085911.219054103
112,6206.501142178496,4.267075317962002e-05,5.0,2.0,16.0,16545156.61454243
113,6324.251900684762,4.119285571324131e-06,5.0,2.0,17.0,19457468.6193027
114,6100.880145723277,3.2239096878176035e-05,5.0,2.0,18.0,14615523.159115463
115,6312.306561152854,8.810647405652764e-06,5.0,3.0,1.0,19238875.564159922
116,6088.725601121745,2.497761914650902e-05,5.0,3.0,2.0,14622490.709480433
117,6177.833789423566,1.4367216255196997e-05,5.0,3.0,3.0,17855680.93854027
118,6129.13996135434,1.809361296921706e-05,5.0,3.0,4.0,14450032.316179711
119,6065.320618824103,2.2520577971626364e-05,5.0,3.0,5.0,14340109.27201531
120,6341.998874464556,1.6560450828654197e-05,5.0,3.0,6.0,17974024.049499296
121,6255.697762604091,1.9819433465265364e-05,5.0,3.0,7.0,15555062.430613918
122,6242.290338713458,2.3246341139247602e-05,5.0,3.0,8.0,16343458.167361742
123,6262.049821516386,1.9936307378064767e-05,5.0,3.0,9.0,15839614.613775732
124,6308.985539896276,2.2322691913359324e-05,5.0,3.0,10.0,17216194.745418485
125,6294.585495037938,2.60204085576433e-05,5.0,3.0,11.0,16546636.285445549
126,6487.906580315836,2.0769263631427995e-05,5.0,3.0,12.0,21905486.6685464
127,6191.410817881104,2.8405471947550877e-05,5.0,3.0,13.0,15521688.91701293
128,6389.13269628106,2.8339758750561117e-05,5.0,3.0,14.0,17601696.67822935
129,6402.397263049575,3.597702829940878e-05,5.0,3.0,15.0,20005066.26441026
130,6153.3433154455015,4.3291710441629695e-05,5.0,3.0,16.0,15939590.650006028
131,6353.052571712027,4.029174002920599e-06,5.0,3.0,17.0,19813331.697234496
132,6100.29952667331,3.316689527038028e-05,5.0,3.0,18.0,14485804.718121085
133,6319.94230338228,8.795089243646813e-06,6.0,1.0,1.0,19331372.138312764
134,6028.374093416232,2.5576772031544343e-05,6.0,1.0,2.0,14027121.94651859
135,6366.96905605243,1.4058355726089291e-05,6.0,1.0,3.0,19672968.76334343
136,6292.004556526429,1.7645266847395134e-05,6.0,1.0,4.0,16340209.988437578
137,6040.595445590672,2.22663558468361e-05,6.0,1.0,5.0,16674883.44637173
138,6459.510209200643,1.6230516938367453e-05,6.0,1.0,6.0,21534470.97532178
139,6287.381107754921,1.957390576728594e-05,6.0,1.0,7.0,15559442.875678187
140,6128.239257038049,2.4520922361291432e-05,6.0,1.0,8.0,15038744.034138625
141,6468.574081307636,1.9008047198257958e-05,6.0,1.0,9.0,16590100.466669554
142,6318.103710053397,2.2308730912396485e-05,6.0,1.0,10.0,17307968.387697063
143,6167.001806081402,2.5918992794698988e-05,6.0,1.0,11.0,15276253.383058062
144,6278.556483893819,2.1103443370331264e-05,6.0,1.0,12.0,18375551.915358715
145,6180.955559648745,2.8262806694532407e-05,6.0,1.0,13.0,15414182.878548713
146,6289.846645426283,2.907219950928314e-05,6.0,1.0,14.0,16549521.722101416
147,6201.369004232252,3.651941250169695e-05,6.0,1.0,15.0,17652456.590113953
148,6111.473280029251,4.334845715406929e-05,6.0,1.0,16.0,15567902.781981695
149,6206.0030640897485,4.183181733570877e-06,6.0,1.0,17.0,18045103.526715174
150,6112.578731658482,3.1870326477434407e-05,6.0,1.0,18.0,14750142.848515602
151,6352.020974854096,8.777950516556647e-06,6.0,2.0,1.0,19721336.918029245
152,6068.625907821712,2.4501776710323795e-05,6.0,2.0,2.0,14524546.431133887
153,6344.788557524806,1.3966807211355228e-05,6.0,2.0,3.0,19422790.978800774
154,6251.1015958680355,1.8411639286160007e-05,6.0,2.0,4.0,15575672.293583542
155,6241.189632974458,2.128476471819538e-05,6.0,2.0,5.0,17749220.928725835
156,6358.903356926258,1.6483584329880897e-05,6.0,2.0,6.0,17970721.857580997
157,6002.852235301978,2.103041652934104e-05,6.0,2.0,7.0,14342286.758355364
158,5895.435263270234,2.4688979327144615e-05,6.0,2.0,8.0,13105322.36863369
159,6210.115890980628,1.9947594832058525e-05,6.0,2.0,9.0,15112539.967623984
160,6220.123448926478,2.2309632622897053e-05,6.0,2.0,10.0,16318557.983257968
161,6015.000453323869,2.682226363037514e-05,6.0,2.0,11.0,13839550.187655495
162,6058.598202156052,2.1857600963963005e-05,6.0,2.0,12.0,17262219.52683247
163,6179.055907306849,2.8083469153344678e-05,6.0,2.0,13.0,15391770.844215788
164,6148.986849754709,2.9293188642590405e-05,6.0,2.0,14.0,15119823.917075288
165,6157.371465067014,3.7193445709105245e-05,6.0,2.0,15.0,17140065.991960656
166,6137.847045519515,4.354947377427747e-05,6.0,2.0,16.0,15750928.328734048
167,6250.120141867547,4.260866414695377e-06,6.0,2.0,17.0,18563114.530787986
168,6093.571316528115,3.2699362113382214e-05,6.0,2.0,18.0,14501557.99924701
169,6051.146162693228,9.912931313820778e-06,6.0,3.0,1.0,16271585.365755918
170,6136.972189986631,2.4764096371828817e-05,6.0,3.0,2.0,15081587.16958957
171,6308.239324069927,1.4534810218609523e-05,6.0,3.0,3.0,19173074.425756626
172,6272.576690289293,1.7568768411415015e-05,6.0,3.0,4.0,16175724.705878092
173,6193.758207324551,2.1598679525394733e-05,6.0,3.0,5.0,18101043.71336138
174,6163.649758078484,1.671249810448746e-05,6.0,3.0,6.0,15707803.87603314
175,6088.952547906391,2.0163566753962663e-05,6.0,3.0,7.0,13362393.622890253
176,6227.2030914912975,2.3229350569879764e-05,6.0,3.0,8.0,16213094.457425682
177,6071.321400419157,2.0192179920162718e-05,6.0,3.0,9.0,13213338.701906458
178,6096.652268114372,2.361126717262529e-05,6.0,3.0,10.0,14979693.94387468
179,6019.9333033030225,2.7056778842254917e-05,6.0,3.0,11.0,13878861.296542618
180,6253.030478716149,2.1899335985531526e-05,6.0,3.0,12.0,15652978.534286473
181,6083.4259135832235,2.8850387311768073e-05,6.0,3.0,14.0,14476203.41973296
182,6074.197586116006,3.786857976245017e-05,6.0,3.0,15.0,16235712.289481869
183,6146.924756217128,4.3140600694626016e-05,6.0,3.0,16.0,15916866.743266013
184,6181.37111010837,4.233687913801528e-06,6.0,3.0,17.0,17760919.09317307
185,6101.578899005548,3.2548229797159024e-05,6.0,3.0,18.0,14590373.262605485
